activity_type,sum,count,score,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,disability,final_result,study_status,withdrawal_status,assessment_engagement_score,submission_timeliness,score_per_weight,module_engagement_rate,repeat_student,performance_by_registration,weighted_engagement,cumulative_score,engagement_consistency,learning_pace,engagement_dropoff,activity_diversity,improvement_rate,id_student,study_method_preference,kmeans_cluster
forumng,28182,5753,77.36363636363636,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0.0,N,Pass,finished,didn't withdraw,67533.55555555556,1.818181818181818,25.018341307814996,1.1861111111111111,0.0,-1.0744949494949494,613941.4141414141,3926.0,527.4667800739992,1.2828282828282829,16.153061224489797,9.0,-0.4591836734693877,25107,Collaborative,5
forumng,8412,2028,84.25,M,North Western Region,HE Qualification,90-100%,0-35,0.0,N,Pass,finished,didn't withdraw,37546.375,-1.0,3.4954361054766734,1.0907676348547717,0.0,-1.8315217391304348,938659.375,1398.75,401.427272166092,3.71875,40.935483870967744,8.0,-0.6129032258064516,25150,Offline Content,0
forumng,997,326,78.0,F,Scotland,HE Qualification,40-50%,0-35,0.0,N,Withdrawn,unfinished,normal withdrawal,12839.857142857143,3.0,26.0,0.5294742432288901,0.0,-0.6902654867256637,25679.714285714286,312.0,170.82042924550635,0.0,83.83333333333333,7.0,0.0,25261,Offline Content,3
forumng,226,118,55.0,F,London Region,HE Qualification,10-20,0-35,2.0,N,Withdrawn,unfinished,normal withdrawal,308.6666666666667,0.0,8.03030303030303,0.071882951653944,1.0,-0.8208955223880596,2315.0,370.0,16.996434563719177,1.75,3.636363636363636,6.0,-4.545454545454546,25572,Offline Content,4
homepage,26,14,86.5,F,London Region,A Level or Equivalent,20-30%,0-35,2.0,N,Withdrawn,unfinished,late withdrawal,36.5,3.0,26.92105263157895,0.0277777777777777,1.0,-0.6268115942028986,346.75,223.0,6.350852961085884,-1.25,3.6666666666666665,2.0,-9.0,25997,Offline Content,3
forumng,7074,2385,88.0,M,North Western Region,Lower Than A Level,10-20,35-55,0.0,N,Pass,finished,didn't withdraw,6395.285714285715,-43.333333333333336,88.0,0.4302134646962233,0.0,-2.4444444444444446,0.0,2851.222222222222,97.71558936797112,1.2063492063492065,5.064516129032258,7.0,-0.4354838709677419,26023,Collaborative,1
dataplus,11115,3295,86.2,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0.0,N,Distinction,finished,didn't withdraw,59553.57142857143,-1.2,4.587655355397291,1.1805629314922996,0.0,-2.32972972972973,1191071.4285714286,1550.2,382.5636652678784,5.571428571428571,33.588235294117645,7.0,0.0294117647058823,26192,Informational,0
dataplus,182460,29280,89.25,F,London Region,HE Qualification,20-30%,35-55,0.0,N,Pass,finished,didn't withdraw,609188.2666666667,-60.833333333333336,57.53703703703703,4.206085753803596,0.0,-3.71875,5076568.888888889,8102.833333333333,2093.6879653113037,0.7277777777777777,46.513966480446925,15.0,-0.0558659217877094,26211,Interactive,2
forumng,478,148,88.0,M,South East Region,HE Qualification,80-90%,35-55,2.0,N,Fail,finished,didn't withdraw,1366.3333333333333,-1.0,6.518518518518518,0.1981757877280265,1.0,-1.9130434782608696,17079.166666666668,440.0,48.95264151311052,0.0,16.75,9.0,0.0,26247,Offline Content,3
forumng,12255,3085,51.4,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1.0,N,Pass,finished,didn't withdraw,31387.3,-6.2,2.665512265512265,0.935496183206107,1.0,-0.5648351648351648,627746.0,1285.9,305.98501030379293,3.92,20.244897959183675,10.0,1.2448979591836735,26315,Informational,0
forumng,630,336,74.33333333333333,M,South West Region,A Level or Equivalent,20-30%,0-35,0.0,Y,Fail,finished,didn't withdraw,513.3333333333334,15.333333333333334,36.16594516594517,0.089058524173028,0.0,-0.7433333333333333,5133.333333333333,1053.3333333333333,22.54226799046285,4.62962962962963,2.4615384615384617,9.0,-1.4615384615384617,26734,Offline Content,4
forumng,14776,5664,93.0,M,Yorkshire Region,HE Qualification,70-80%,0-35,0.0,N,Distinction,finished,didn't withdraw,24029.0,1.0,10.5631038647343,0.7629078893019413,0.0,-0.6000000000000001,300362.5,3400.125,170.8284884232253,2.583333333333333,6.28169014084507,9.0,-0.0704225352112676,27116,Collaborative,0
folder,31656,5676,52.0,F,South Region,Lower Than A Level,10-20,35-55,0.0,N,Fail,finished,didn't withdraw,20342.272727272728,-21.916666666666668,36.11087369420703,0.995096190116937,0.0,-0.8125,169518.9393939394,3495.25,304.60190057653443,0.25,7.030534351145038,11.0,-0.1374045801526717,27189,Collaborative,5
forumng,2040,740,48.7,M,South West Region,Lower Than A Level,60-70%,0-35,0.4,N,Withdrawn,unfinished,late withdrawal,771.0,5.35,4.282466332466332,0.1301707076911078,0.4,-0.5223709167544784,11425.5,1361.8,38.36665218650175,1.25,2.389830508474576,10.0,0.0847457627118644,27417,Collaborative,4
folder,25548,4800,82.08333333333333,M,London Region,HE Qualification,30-40%,0-35,0.0,N,Pass,finished,didn't withdraw,15105.90909090909,-5.25,54.05923551756885,0.8030931723877781,0.0,-3.568840579710145,125882.57575757576,5488.416666666667,289.2144760991191,-0.1212121212121212,6.900763358778626,11.0,-0.1450381679389313,27683,Interactive,5
forumng,4026,2002,76.0909090909091,M,North Western Region,Lower Than A Level,40-50%,35-55,0.0,Y,Fail,finished,didn't withdraw,1615.25,0.9090909090909092,24.158692185007972,0.1707089552238806,0.0,-1.811688311688312,14684.09090909091,3433.8636363636365,39.70646607639444,1.7159090909090908,1.367816091954023,8.0,-0.2873563218390804,27759,Collaborative,4
forumng,1659,477,60.0,M,Wales,A Level or Equivalent,10-20,0-35,0.0,N,Pass,finished,didn't withdraw,3167.1428571428573,-2.0,2.5963488843813387,0.3278008298755187,0.0,-2.7272727272727275,76011.42857142857,662.6666666666666,84.9482195222478,3.857142857142857,11.7,7.0,-0.4,27780,Offline Content,4
forumng,2088,768,69.16666666666667,M,Scotland,Lower Than A Level,0-10%,0-35,2.6,Y,Withdrawn,unfinished,late withdrawal,1223.0,-16.966666666666665,21.4312865497076,0.1455021367521367,1.0,-0.958625730994152,8968.666666666666,2125.5,50.43162849385666,-1.0166666666666666,2.915254237288136,7.0,-0.7627118644067796,27891,Collaborative,3
externalquiz,3252,1320,75.25,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0.0,Y,Fail,finished,didn't withdraw,6145.222222222223,0.25,5.022613522613522,0.3461047254150702,0.0,-0.5657894736842105,92178.33333333331,1394.5,92.88272175167997,2.7777777777777777,7.342857142857143,9.0,-0.3428571428571428,27935,Offline Content,4
externalquiz,4627,1918,49.42857142857143,F,Yorkshire Region,HE Qualification,10-20,35-55,0.0,N,Fail,finished,didn't withdraw,4299.25,-2.7142857142857144,2.7573632156376147,0.3165708812260536,0.0,-0.2615268329554044,122835.71428571428,1423.0,59.36682958138707,3.7857142857142856,3.0,8.0,-0.3272727272727272,28046,Collaborative,4
dataplus,7950,3315,77.6,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0.0,N,Pass,finished,didn't withdraw,28337.5,1.0,4.137075827398408,0.7388475836431228,0.0,-0.6015503875968993,566750.0,1591.4,194.0240204531916,4.925,14.205128205128204,8.0,-0.0512820512820512,28061,Informational,0
dataplus,7175,2150,66.4,F,Scotland,HE Qualification,20-30%,35-55,0.0,N,Pass,finished,didn't withdraw,22271.571428571428,0.0,3.5836335707303446,0.7649253731343284,0.0,-1.276923076923077,445431.4285714286,1200.0,204.067462893438,5.428571428571429,15.5,7.0,-0.2941176470588235,28400,Informational,0
forumng,656,250,31.5,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0.0,N,Fail,finished,didn't withdraw,1368.7142857142858,2.0,7.0625,0.1944279786603438,0.0,-0.875,6159.214285714285,235.5,48.0334132787666,3.5,10.153846153846152,7.0,0.2307692307692307,28418,Offline Content,4
forumng,2580,976,56.0,M,South East Region,Lower Than A Level,80-90%,35-55,0.0,N,Pass,finished,didn't withdraw,3945.75,3.25,11.375,0.2997211895910781,0.0,-2.0,24660.9375,950.25,84.89224669183339,6.1875,8.096774193548388,8.0,-2.193548387096774,28787,Offline Content,4
forumng,464,214,70.0,F,South Region,A Level or Equivalent,90-100%,0-35,0.0,N,Fail,finished,didn't withdraw,510.22222222222223,0.0,5.185185185185185,0.1069617335177501,0.0,-0.5882352941176471,6377.777777777777,670.0,26.505394690749625,1.5555555555555556,4.588235294117647,9.0,-1.1764705882352942,28808,Offline Content,4
dataplus,40404,9504,71.33333333333333,M,South West Region,A Level or Equivalent,10-20,0-35,0.0,N,Distinction,finished,didn't withdraw,40566.28571428572,-20.0,36.66156220322887,0.9979253112033196,0.0,-0.5283950617283951,338052.38095238095,5990.75,460.5499056224661,-0.0595238095238095,10.748502994011975,14.0,0.0898203592814371,28897,Interactive,2
forumng,210,90,59.5,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0.0,N,Withdrawn,unfinished,normal withdrawal,160.14285714285714,1.5,13.766666666666666,0.0557620817843866,0.0,-1.2142857142857142,880.7857142857143,450.0,19.78344296083509,0.7857142857142857,4.384615384615385,7.0,-1.1538461538461535,28952,Offline Content,4
forumng,17226,7605,73.22222222222223,M,South Region,Lower Than A Level,60-70%,0-35,0.0,N,Fail,finished,didn't withdraw,42044.375,3.888888888888889,21.514619883040936,0.996875,0.0,-3.183574879227053,378399.375,2699.3888888888887,217.28418141447332,1.5555555555555556,7.802816901408452,8.0,-0.5352112676056338,29144,Collaborative,5
dataplus,106080,23652,92.08333333333331,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0.0,N,Distinction,finished,didn't withdraw,228735.14285714287,-77.66666666666667,54.734686609686605,2.3560767590618337,0.0,-3.069444444444444,1906126.1904761903,7772.916666666667,935.3785526638802,0.9821428571428572,18.25748502994012,14.0,0.059880239520958,29335,Interactive,2
forumng,6545,3022,61.65116279069768,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0.0,N,Pass,finished,didn't withdraw,5120.802325581395,-0.2790697674418604,3.422200242232478,0.2907168861608215,0.0,-0.6449697656150094,141445.39534883722,2252.3372093023254,76.87453935889039,2.511627906976744,2.647058823529412,11.0,0.7294117647058823,29411,Collaborative,5
forumng,5712,1995,77.14285714285714,M,Wales,A Level or Equivalent,70-80%,0-35,0.0,N,Pass,finished,didn't withdraw,5619.5,2.571428571428572,9.990251897860594,0.379182156133829,0.0,-5.934065934065934,73053.5,2228.428571428572,114.49938467480554,3.321428571428572,6.581818181818183,8.0,-0.8363636363636363,29420,Collaborative,4
forumng,69956,16900,84.55357142857143,M,North Region,Lower Than A Level,10-20,0-35,0.0,N,Pass,finished,didn't withdraw,236341.39285714287,0.1607142857142857,7.025905278715684,2.376210051498117,0.0,-3.5722049689441,3291033.035714286,4786.508928571428,914.5584998666018,1.1607142857142858,27.315315315315317,11.0,0.1621621621621621,29639,Collaborative,5
forumng,22936,5280,88.75,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0.0,N,Distinction,finished,didn't withdraw,87264.625,1.625,10.079876207729468,1.487033195020747,0.0,-2.6893939393939394,1090807.8125,2882.875,683.6612801905239,2.796875,33.76190476190476,8.0,-0.0952380952380952,29764,Collaborative,0
forumng,9648,2484,77.5,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1.0,N,Fail,finished,didn't withdraw,12945.9,-52.66666666666666,34.33167141500475,0.6,1.0,-2.5,161823.75,2388.333333333333,221.75928314507365,1.0166666666666666,12.813559322033898,10.0,-0.5932203389830508,29769,Interactive,5
forumng,14116,5736,81.02,M,East Anglian Region,HE Qualification,40-50%,0-35,0.0,N,Pass,finished,didn't withdraw,11321.32,-0.08,6.631692193119127,0.5857261410788381,0.0,-1.4467857142857143,203387.0,4073.03,117.11021485866392,1.31,3.8282828282828287,10.0,0.2323232323232323,29820,Collaborative,5
forumng,6840,2340,71.88888888888889,F,South Region,Lower Than A Level,20-30%,0-35,0.0,N,Pass,finished,didn't withdraw,7166.833333333333,-43.77777777777778,71.88888888888889,0.5255878284923928,0.0,-0.7814009661835749,0.0,1992.7222222222224,103.43770342851796,1.3888888888888888,5.79245283018868,6.0,-0.5283018867924528,29985,Collaborative,1
forumng,13320,3430,88.0,F,South West Region,A Level or Equivalent,10-20,0-35,0.0,Y,Pass,finished,didn't withdraw,17965.714285714286,2.0,27.912280701754387,0.7100213219616205,0.0,-0.6111111111111112,147318.85714285713,3154.4,279.8994199711871,2.142857142857143,11.92753623188406,7.0,-0.3623188405797101,30091,Collaborative,5
forumng,5712,1680,93.25,M,East Anglian Region,HE Qualification,90-100%,0-35,0.0,N,Distinction,finished,didn't withdraw,4321.0,-3.375,10.98040458937198,0.3317843866171003,0.0,-4.440476190476191,54012.5,3043.875,135.80448130624094,2.84375,6.777777777777778,8.0,-0.3333333333333333,30096,Collaborative,4
forumng,6192,1404,87.25,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1.0,N,Fail,finished,didn't withdraw,9294.2,-101.5,46.97222222222222,0.6423236514522822,1.0,-0.6415441176470589,58088.75,1790.25,166.98889875585232,1.075,10.871794871794872,10.0,-0.1538461538461538,30531,Offline Content,5
externalquiz,137,67,35.0,M,South East Region,A Level or Equivalent,0-10%,35-55,2.0,N,Fail,finished,didn't withdraw,345.0,0.0,3.181818181818182,0.0749863163656267,1.0,-0.3465346534653465,3450.0,140.0,21.83923947742643,0.0,9.333333333333334,7.0,0.0,30549,Offline Content,3
forumng,18064,4600,99.25,F,Scotland,HE Qualification,60-70%,35-55,0.0,N,Distinction,finished,didn't withdraw,36822.77777777778,-1.75,11.320954106280192,0.932672449401074,0.0,-1.804545454545455,460284.7222222223,3623.0,388.0561726274188,2.430555555555556,17.746478873239436,9.0,-0.0140845070422535,30850,Collaborative,0
forumng,2655,880,90.0,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0.0,N,Withdrawn,unfinished,late withdrawal,5075.875,-2.6,24.57017543859649,0.2476679104477612,0.0,-2.142857142857143,43652.525,1855.6,113.46629173007445,0.95,8.76923076923077,8.0,-0.4615384615384615,31014,Informational,4
forumng,34857,8181,89.22222222222223,M,South West Region,Lower Than A Level,40-50%,35-55,0.0,N,Pass,finished,didn't withdraw,172337.2857142857,-50.333333333333336,89.22222222222223,2.2957913455838765,0.0,-1.939613526570048,0.0,2876.4444444444443,678.3882090749967,1.4444444444444444,31.677419354838708,7.0,-0.4032258064516129,31107,Collaborative,1
forumng,23456,6072,96.5,M,South Region,Post Graduate Qualification,90-100%,55<=,0.0,N,Distinction,finished,didn't withdraw,51781.444444444445,-6.5,10.780132850241548,1.211069805865345,0.0,-2.2976190476190474,647268.0555555555,3521.0,405.8673280148598,2.1527777777777777,16.6056338028169,9.0,0.0985915492957746,31161,Collaborative,0
externalquiz,6006,1974,50.142857142857146,M,North Western Region,A Level or Equivalent,40-50%,35-55,1.0,N,Fail,finished,didn't withdraw,4419.333333333333,-3.0,3.067706991327925,0.3652618135376756,1.0,-1.1661129568106312,126266.66666666669,1635.142857142857,84.38487098771262,3.4761904761904763,3.645161290322581,9.0,-1.0483870967741935,31173,Collaborative,4
forumng,1524,540,90.5,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0.0,Y,Fail,finished,didn't withdraw,1611.142857142857,-59.75,90.5,0.2023366967604885,0.0,-3.0166666666666666,0.0,1321.5,47.60596645724191,0.4642857142857143,4.629629629629629,7.0,-0.6666666666666666,31205,Offline Content,1
forumng,1118,448,56.0,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1.0,N,Withdrawn,unfinished,late withdrawal,2771.125,0.0,4.526936026936027,0.2899377593360995,1.0,-0.6292134831460674,31175.15625,470.5,53.62446580930511,1.75,9.733333333333333,8.0,1.4666666666666666,31269,Offline Content,4
forumng,15360,2856,66.08333333333333,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1.0,N,Fail,finished,didn't withdraw,7629.75,2.25,44.959164292497626,0.5947955390334573,1.0,-3.4780701754385963,63581.25,3242.0,195.18541791952865,-0.4479166666666667,5.810526315789474,8.0,-0.1263157894736842,31296,Collaborative,5
forumng,2145,630,54.8,F,South West Region,A Level or Equivalent,40-50%,0-35,0.0,N,Pass,finished,didn't withdraw,3123.333333333333,2.4,2.850551598938696,0.2657992565055762,0.0,-1.0745098039215686,62466.66666666666,844.2,79.27418591019486,6.333333333333333,7.724137931034483,6.0,0.2413793103448276,31600,Informational,4
dataplus,10790,3315,76.0,F,South East Region,A Level or Equivalent,50-60%,35-55,0.0,N,Pass,finished,didn't withdraw,44727.25,-2.0,4.012009495880464,1.0065298507462686,0.0,-1.4901960784313726,894545.0,1553.4,306.87788851844385,4.9,21.41025641025641,8.0,0.0769230769230769,31604,Informational,0
forumng,64966,16940,79.27272727272727,M,North Region,A Level or Equivalent,30-40%,35-55,0.0,N,Pass,finished,didn't withdraw,469603.4444444445,2.0,24.60606060606061,2.734259259259259,0.0,-1.3436055469953774,4269122.222222222,4018.0,1241.321765548153,1.2828282828282829,40.40816326530612,9.0,-0.3061224489795918,31663,Collaborative,5
forumng,12969,4015,78.0,F,South West Region,Lower Than A Level,60-70%,35-55,0.0,N,Pass,finished,didn't withdraw,22515.14285714286,2.0,22.83971291866029,0.6284648187633263,0.0,-0.6141732283464567,204683.1168831169,3072.181818181818,224.3903101254497,2.103896103896104,8.407894736842104,7.0,-0.3026315789473684,31849,Collaborative,5
dualpane,5665,1485,89.6,M,South Region,A Level or Equivalent,60-70%,0-35,0.0,N,Fail,finished,didn't withdraw,6253.818181818182,-28.0,21.67977207977208,0.3843283582089552,0.0,-2.890322580645161,93807.27272727272,2510.0,151.06657840538753,0.5272727272727272,9.851851851851851,11.0,0.0,32221,Informational,5
forumng,4960,1856,80.625,F,London Region,A Level or Equivalent,30-40%,0-35,0.0,N,Pass,finished,didn't withdraw,5055.166666666667,-48.75,80.625,0.3959131545338442,0.0,-1.047077922077922,0.0,2018.75,69.36960317006024,1.6458333333333333,3.5319148936170213,6.0,-0.9574468085106383,32239,Collaborative,1
forumng,1398,360,31.0,F,South West Region,Lower Than A Level,20-30%,0-35,2.0,N,Withdrawn,unfinished,late withdrawal,3530.777777777778,-1.0,3.272727272727273,0.2964376590330789,1.0,-0.3406593406593406,17653.88888888889,279.5,110.39607836172014,1.9444444444444444,20.58823529411765,9.0,3.5294117647058822,32327,Offline Content,4
forumng,5170,1760,54.4,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0.0,N,Pass,finished,didn't withdraw,13005.142857142857,11.4,2.957464041335009,0.5511727078891258,0.0,-0.3108571428571428,260102.85714285716,975.8,162.25861192200904,5.6,14.411764705882351,7.0,0.1764705882352941,32885,Informational,0
homepage,2190,645,45.0,F,South Region,A Level or Equivalent,40-50%,35-55,0.0,N,Pass,finished,didn't withdraw,2533.0,2.6,2.398268398268398,0.2786259541984732,0.0,-1.3235294117647058,50660.0,677.3,64.12272715606406,6.066666666666666,5.172413793103448,6.0,1.7586206896551724,32930,Informational,4
externalquiz,744,276,59.0,M,Scotland,HE Qualification,10-20,0-35,1.0,N,Withdrawn,unfinished,late withdrawal,516.875,0.0,4.354748688082021,0.1187739463601532,1.0,-1.4047619047619049,6891.666666666667,740.1666666666666,31.74901573277509,2.625,4.217391304347826,8.0,-0.3478260869565217,33387,Offline Content,4
forumng,481,136,84.0,F,London Region,A Level or Equivalent,40-50%,35-55,0.0,N,Withdrawn,unfinished,normal withdrawal,1298.0,-2.0,6.222222222222222,0.1994195688225538,0.0,-2.0,16225.0,420.0,57.935548480857406,0.0,21.125,9.0,0.0,33600,Offline Content,3
forumng,4832,1284,59.0,F,London Region,A Level or Equivalent,10-20,0-35,1.0,N,Withdrawn,unfinished,late withdrawal,28666.625,8.25,15.942982456140353,0.6291666666666667,1.0,-2.6818181818181817,300999.5625,1008.5,323.5189579128745,1.78125,31.677419354838708,8.0,-3.225806451612903,33666,Offline Content,5
homepage,1422,670,76.38461538461539,M,South East Region,A Level or Equivalent,50-60%,35-55,2.3076923076923075,Y,Withdrawn,unfinished,late withdrawal,1236.4871794871794,-15.538461538461538,6.4182517644056105,0.1396543849821028,1.0,-1.1862637362637365,16467.69230769231,1542.2307692307693,42.14064555861913,-0.6666666666666666,3.289473684210526,9.0,-0.8157894736842105,33681,Resource-Based,3
externalquiz,2106,1086,67.0,M,East Anglian Region,Lower Than A Level,80-90%,35-55,2.0,N,Pass,finished,didn't withdraw,1804.571428571429,0.1666666666666666,5.342074592074592,0.1913849509269356,1.0,-1.34,30076.19047619048,1451.1666666666667,34.81559184532226,4.309523809523809,2.1463414634146343,7.0,-0.5609756097560976,33796,Collaborative,4
externalquiz,322,69,50.0,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0.0,N,Withdrawn,unfinished,late withdrawal,829.7142857142857,-2.0,4.545454545454546,0.1762452107279693,0.0,-0.8771929824561403,8297.142857142857,200.0,50.182998449009936,0.0,19.666666666666668,7.0,0.0,33897,Offline Content,3
dataplus,49452,12168,91.5,F,South East Region,A Level or Equivalent,30-40%,0-35,0.0,N,Distinction,finished,didn't withdraw,56224.38461538462,-50.41666666666666,54.13354700854701,1.3208333333333333,0.0,-1.4523809523809526,468536.5384615384,7172.083333333333,451.2822162568313,0.8141025641025641,10.206451612903226,13.0,0.0451612903225806,33915,Interactive,2
externalquiz,3264,1308,81.33333333333333,F,South West Region,A Level or Equivalent,20-30%,0-35,0.0,N,Pass,finished,didn't withdraw,2789.222222222222,-5.166666666666667,4.474942753820641,0.2315879097488292,0.0,-0.5727699530516431,83676.66666666667,2240.6666666666665,64.56784253255002,3.9814814814814814,3.641509433962264,9.0,-0.2075471698113207,33930,Collaborative,4
forumng,1839,531,73.33333333333333,M,Scotland,Lower Than A Level,50-60%,0-35,0.0,N,Withdrawn,unfinished,late withdrawal,3104.1428571428573,4.333333333333333,13.866666666666664,0.3255443441317047,0.0,-1.004566210045662,18624.85714285714,804.0,104.79101651791122,0.9047619047619048,16.05,7.0,0.4,34068,Offline Content,3
forumng,1406,728,84.45833333333333,M,South East Region,A Level or Equivalent,60-70%,35-55,0.5,Y,Fail,finished,didn't withdraw,717.2083333333334,-28.916666666666668,7.224507870341204,0.1120689655172413,0.5,-0.9694777324494308,9408.541666666666,2073.5,26.23053144985522,-0.625,2.021276595744681,8.0,-0.1063829787234042,34087,Collaborative,3
forumng,6354,2448,88.0,F,Ireland,A Level or Equivalent,0-10%,35-55,2.0,N,Pass,finished,didn't withdraw,5803.142857142857,5.333333333333333,25.439571150097464,0.4202380952380952,1.0,-1.543859649122807,52228.28571428572,2838.1111111111118,88.75988943408069,2.0476190476190474,4.129032258064516,7.0,-0.2903225806451613,34229,Resource-Based,6
forumng,1842,366,74.0,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0.0,Y,Withdrawn,unfinished,late withdrawal,3145.2727272727275,-3.0,5.481481481481482,0.3474160694077706,0.0,-1.1044776119402984,39315.90909090909,850.0,145.18565514152718,1.4545454545454546,23.857142857142858,11.0,0.1904761904761904,34293,Offline Content,4
forumng,3910,1560,90.6,M,Scotland,A Level or Equivalent,70-80%,35-55,0.0,Y,Fail,finished,didn't withdraw,3338.0,2.0,28.22017543859649,0.2715277777777778,0.0,-6.04,27371.6,2791.0,71.7184151626786,2.1166666666666667,3.542372881355932,6.0,-0.4576271186440678,34353,Resource-Based,6
forumng,192,65,80.0,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0.0,N,Withdrawn,unfinished,normal withdrawal,675.6666666666666,6.0,40.0,0.1333333333333333,0.0,-3.4782608695652173,675.6666666666666,280.0,39.97499218261337,0.0,20.6,6.0,0.0,34431,Offline Content,3
externalquiz,639,306,49.0,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0.0,N,Fail,finished,didn't withdraw,526.75,-4.666666666666667,2.90724057390724,0.1020114942528735,0.0,-0.3310810810810811,8779.166666666666,617.5,21.77116661210818,2.5,2.652173913043478,8.0,-0.6521739130434783,34653,Offline Content,4
