id_student,code_module,code_presentation,activity_type,sum,count,assessment_type,date,weight,date_submitted,is_banked,score,date_registration,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,module_presentation_length,study_status,withdrawal_status,assessment_engagement_score,submission_timeliness,score_per_weight,module_engagement_rate,repeat_student,performance_by_registration,banked_assessment_ratio,time_since_registration,weighted_engagement,cumulative_score,engagement_consistency,learning_pace,engagement_dropoff,activity_diversity,improvement_rate,study_method_preference
27189,FFF,2014B,folder,31656,5676,CMA,171.0,8.333333333333334,149.08333333333334,0,52.0,-65.0,F,South Region,Lower Than A Level,10-20,35-55,0.0,120.0,N,Fail,241.0,finished,didn't withdraw,20342.272727272728,-21.916666666666668,36.11087369420703,0.995096190116937,0.0,-0.8125,0.0,236.0,169518.9393939394,3495.25,304.60190057653443,0.25,7.030534351145038,11.0,-0.13740458015267176,Collaborative
27417,DDD,2013J,forumng,2040,740,TMA,66.75,14.0,72.1,0,48.7,-96.8,M,South West Region,Lower Than A Level,60-70%,0-35,0.4,60.0,N,Withdrawn,261.4,unfinished,late withdrawal,771.0,5.35,4.282466332466332,0.1301707076911078,0.4,-0.5223709167544784,0.0,163.55,11425.5,1361.8,38.36665218650175,1.25,2.389830508474576,10.0,0.0847457627118644,Collaborative
27683,FFF,2014B,folder,25548,4800,CMA,171.0,8.333333333333334,165.75,0,82.08333333333333,-24.0,M,London Region,HE Qualification,30-40%,0-35,0.0,60.0,N,Pass,241.0,finished,didn't withdraw,15105.90909090909,-5.25,54.05923551756885,0.8030931723877781,0.0,-3.568840579710145,0.0,195.0,125882.57575757576,5488.416666666667,289.2144760991191,-0.12121212121212122,6.900763358778626,11.0,-0.1450381679389313,Interactive
27759,BBB,2013J,forumng,4026,2002,TMA,120.18181818181819,9.090909090909092,121.0909090909091,0,76.0909090909091,-43.0,M,North Western Region,Lower Than A Level,40-50%,35-55,0.0,120.0,Y,Fail,268.0,finished,didn't withdraw,1615.25,0.9090909090909091,24.158692185007975,0.1707089552238806,0.0,-1.8116883116883116,0.0,163.1818181818182,14684.09090909091,3433.8636363636365,39.706466076394435,1.7159090909090908,1.367816091954023,8.0,-0.28735632183908044,Collaborative
27780,EEE,2014B,forumng,1659,477,TMA,72.66666666666667,24.0,70.66666666666667,0,60.0,-23.0,M,Wales,A Level or Equivalent,10-20,0-35,0.0,150.0,N,Pass,241.0,finished,didn't withdraw,3167.1428571428573,-2.0,2.5963488843813387,0.3278008298755187,0.0,-2.7272727272727275,0.0,95.66666666666667,76011.42857142857,662.6666666666666,84.9482195222478,3.857142857142857,11.7,7.0,-0.4,Offline Content
27891,BBB,2013B,forumng,2088,768,CMA,68.23333333333333,7.333333333333333,51.266666666666666,0,69.16666666666667,-97.9,M,Scotland,Lower Than A Level,0-10%,0-35,2.6,120.0,Y,Withdrawn,238.2,unfinished,late withdrawal,1223.0,-16.966666666666665,21.4312865497076,0.14550213675213675,1.0,-0.958625730994152,0.3,166.13333333333333,8968.666666666666,2125.5,50.43162849385666,-1.0166666666666666,2.9152542372881354,7.0,-0.7627118644067796,Collaborative
27935,DDD,2013J,externalquiz,3252,1320,TMA,72.25,15.0,72.5,0,75.25,-134.0,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0.0,60.0,Y,Fail,261.0,finished,didn't withdraw,6145.222222222223,0.25,5.022613522613522,0.34610472541507026,0.0,-0.5657894736842105,0.0,206.25,92178.33333333333,1394.5,92.88272175167995,2.7777777777777777,7.342857142857143,9.0,-0.34285714285714286,Offline Content
28046,DDD,2013J,externalquiz,4627,1918,TMA,131.71428571428572,28.571428571428573,129.0,0,49.42857142857143,-190.0,F,Yorkshire Region,HE Qualification,10-20,35-55,0.0,70.0,N,Fail,261.0,finished,didn't withdraw,4299.25,-2.7142857142857144,2.7573632156376147,0.3165708812260536,0.0,-0.2615268329554044,0.0,321.7142857142857,122835.71428571429,1423.0,59.36682958138707,3.7857142857142856,3.0,8.0,-0.32727272727272727,Collaborative
28061,AAA,2014J,dataplus,7950,3315,TMA,114.2,20.0,115.2,0,77.6,-130.0,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0.0,60.0,N,Pass,269.0,finished,didn't withdraw,28337.5,1.0,4.137075827398408,0.7388475836431228,0.0,-0.6015503875968993,0.0,244.2,566750.0,1591.4,194.02402045319158,4.925,14.205128205128204,8.0,-0.05128205128205128,Informational
28400,AAA,2013J,dataplus,7175,2150,TMA,114.2,20.0,114.2,0,66.4,-53.0,F,Scotland,HE Qualification,20-30%,35-55,0.0,60.0,N,Pass,268.0,finished,didn't withdraw,22271.571428571428,0.0,3.5836335707303446,0.7649253731343284,0.0,-1.276923076923077,0.0,167.2,445431.4285714286,1200.0,204.067462893438,5.428571428571429,15.5,7.0,-0.29411764705882354,Informational
28418,CCC,2014B,forumng,656,250,CMA,42.5,4.5,44.5,0,31.5,-37.0,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0.0,30.0,N,Fail,241.0,finished,didn't withdraw,1368.7142857142858,2.0,7.0625,0.1944279786603438,0.0,-0.875,0.0,79.5,6159.214285714285,235.5,48.033413278766595,3.5,10.153846153846152,7.0,0.23076923076923078,Offline Content
28787,CCC,2014J,forumng,2580,976,CMA,110.75,6.25,114.0,0,56.0,-29.0,M,South East Region,Lower Than A Level,80-90%,35-55,0.0,60.0,N,Pass,269.0,finished,didn't withdraw,3945.75,3.25,11.375,0.2997211895910781,0.0,-2.0,0.0,139.75,24660.9375,950.25,84.89224669183339,6.1875,8.096774193548388,8.0,-2.193548387096774,Offline Content
28808,FFF,2014B,forumng,464,214,TMA,38.0,12.5,38.0,0,70.0,-120.0,F,South Region,A Level or Equivalent,90-100%,0-35,0.0,60.0,N,Fail,241.0,finished,didn't withdraw,510.22222222222223,0.0,5.185185185185185,0.10696173351775012,0.0,-0.5882352941176471,0.0,158.0,6377.777777777777,670.0,26.505394690749622,1.5555555555555556,4.588235294117647,9.0,-1.1764705882352942,Offline Content
28897,FFF,2014B,dataplus,40404,9504,CMA,171.0,8.333333333333334,151.0,0,71.33333333333333,-136.0,M,South West Region,A Level or Equivalent,10-20,0-35,0.0,120.0,N,Distinction,241.0,finished,didn't withdraw,40566.28571428572,-20.0,36.66156220322887,0.9979253112033196,0.0,-0.5283950617283951,0.0,307.0,338052.38095238095,5990.75,460.5499056224661,-0.05952380952380952,10.748502994011975,14.0,0.08982035928143713,Interactive
28952,CCC,2014J,forumng,210,90,CMA,25.0,5.5,26.5,0,59.5,-50.0,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0.0,60.0,N,Withdrawn,269.0,unfinished,normal withdrawal,160.14285714285714,1.5,13.766666666666666,0.05576208178438662,0.0,-1.2142857142857142,0.0,75.0,880.7857142857143,450.0,19.78344296083509,0.7857142857142857,4.384615384615385,7.0,-1.1538461538461537,Offline Content
29144,BBB,2013B,forumng,17226,7605,TMA,96.0,9.0,99.88888888888889,0,73.22222222222223,-24.0,M,South Region,Lower Than A Level,60-70%,0-35,0.0,120.0,N,Fail,240.0,finished,didn't withdraw,42044.375,3.888888888888889,21.514619883040936,0.9968750000000001,0.0,-3.183574879227053,0.0,120.0,378399.375,2699.3888888888887,217.28418141447335,1.5555555555555556,7.802816901408452,8.0,-0.5352112676056338,Collaborative
29335,FFF,2013J,dataplus,106080,23652,CMA,176.5,8.333333333333334,98.83333333333333,0,92.08333333333333,-31.0,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0.0,60.0,N,Distinction,268.0,finished,didn't withdraw,228735.14285714287,-77.66666666666667,54.734686609686605,2.3560767590618337,0.0,-3.069444444444444,0.0,207.5,1906126.1904761905,7772.916666666667,935.3785526638802,0.9821428571428571,18.25748502994012,14.0,0.05988023952095808,Interactive
29411,DDD,2013J,forumng,6545,3022,TMA,111.86046511627907,24.27906976744186,111.5813953488372,0,61.651162790697676,-103.25581395348837,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0.0,76.74418604651163,N,Pass,262.48837209302326,finished,didn't withdraw,5120.802325581395,-0.27906976744186046,3.422200242232478,0.2907168861608215,0.0,-0.6449697656150094,0.0,215.11627906976744,141445.39534883722,2252.3372093023254,76.87453935889039,2.511627906976744,2.6470588235294117,11.0,0.7294117647058823,Collaborative
29420,CCC,2014J,forumng,5712,1995,CMA,131.0,13.0,133.57142857142858,0,77.14285714285714,-14.0,M,Wales,A Level or Equivalent,70-80%,0-35,0.0,30.0,N,Pass,269.0,finished,didn't withdraw,5619.5,2.5714285714285716,9.990251897860594,0.379182156133829,0.0,-5.934065934065934,0.0,145.0,73053.5,2228.4285714285716,114.49938467480554,3.3214285714285716,6.581818181818183,8.0,-0.8363636363636363,Collaborative
29639,CCC,2014J,forumng,69956,16900,TMA,109.29464285714286,16.964285714285715,109.45535714285714,0,84.55357142857143,-24.714285714285715,M,North Region,Lower Than A Level,10-20,0-35,0.0,30.0,N,Pass,259.0,finished,didn't withdraw,236341.39285714287,0.16071428571428573,7.025905278715684,2.376210051498117,0.0,-3.5722049689440993,0.0,134.00892857142858,3291033.035714286,4786.508928571428,914.5584998666018,1.1607142857142858,27.315315315315313,11.0,0.16216216216216214,Collaborative
29764,CCC,2014B,forumng,22936,5280,CMA,114.25,12.5,115.875,0,88.75,-34.0,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0.0,90.0,N,Distinction,241.0,finished,didn't withdraw,87264.625,1.625,10.079876207729468,1.487033195020747,0.0,-2.6893939393939394,0.0,148.25,1090807.8125,2882.875,683.6612801905239,2.796875,33.76190476190476,8.0,-0.09523809523809523,Collaborative
29769,FFF,2013J,forumng,9648,2484,TMA,127.5,12.5,74.83333333333333,0,77.5,-32.0,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1.0,60.0,N,Fail,268.0,finished,didn't withdraw,12945.9,-52.666666666666664,34.33167141500475,0.6,1.0,-2.5,0.0,159.5,161823.75,2388.3333333333335,221.75928314507365,1.0166666666666666,12.813559322033898,10.0,-0.5932203389830508,Interactive
29820,CCC,2014B,forumng,14116,5736,TMA,106.42,17.0,106.34,0,81.02,-57.0,M,East Anglian Region,HE Qualification,40-50%,0-35,0.0,60.0,N,Pass,241.0,finished,didn't withdraw,11321.32,-0.08,6.631692193119127,0.5857261410788381,0.0,-1.4467857142857143,0.0,163.42,203387.0,4073.03,117.11021485866391,1.31,3.8282828282828287,10.0,0.23232323232323232,Collaborative
29985,GGG,2014B,forumng,6840,2340,CMA,186.22222222222223,0.0,142.44444444444446,0,71.88888888888889,-93.0,F,South Region,Lower Than A Level,20-30%,0-35,0.0,30.0,N,Pass,241.0,finished,didn't withdraw,7166.833333333333,-43.77777777777778,71.88888888888889,0.5255878284923928,0.0,-0.7814009661835749,0.0,279.22222222222223,0.0,1992.7222222222222,103.43770342851796,1.3888888888888888,5.79245283018868,6.0,-0.5283018867924528,Collaborative
30091,BBB,2013J,forumng,13320,3430,CMA,119.1,8.2,121.1,0,88.0,-145.0,F,South West Region,A Level or Equivalent,10-20,0-35,0.0,60.0,Y,Pass,268.0,finished,didn't withdraw,17965.714285714286,2.0,27.912280701754387,0.7100213219616205,0.0,-0.6111111111111112,0.0,264.1,147318.85714285713,3154.4,279.8994199711871,2.142857142857143,11.927536231884059,7.0,-0.36231884057971014,Collaborative
30096,CCC,2014J,forumng,5712,1680,CMA,118.625,12.5,115.25,0,93.25,-22.0,M,East Anglian Region,HE Qualification,90-100%,0-35,0.0,60.0,N,Distinction,269.0,finished,didn't withdraw,4321.0,-3.375,10.98040458937198,0.33178438661710036,0.0,-4.440476190476191,0.0,140.625,54012.5,3043.875,135.80448130624094,2.84375,6.777777777777778,8.0,-0.3333333333333333,Collaborative
30531,FFF,2014B,forumng,6192,1404,CMA,132.5,6.25,31.0,0,87.25,-137.0,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1.0,180.0,N,Fail,241.0,finished,didn't withdraw,9294.2,-101.5,46.97222222222222,0.6423236514522822,1.0,-0.6415441176470589,0.0,269.5,58088.75,1790.25,166.98889875585232,1.075,10.871794871794872,10.0,-0.15384615384615385,Offline Content
30549,DDD,2013J,externalquiz,137,67,TMA,25.0,10.0,25.0,0,35.0,-102.0,M,South East Region,A Level or Equivalent,0-10%,35-55,2.0,60.0,N,Fail,261.0,finished,didn't withdraw,345.0,0.0,3.181818181818182,0.0749863163656267,1.0,-0.3465346534653465,0.0,127.0,3450.0,140.0,21.83923947742643,0.0,9.333333333333334,7.0,0.0,Offline Content
30850,CCC,2014J,forumng,18064,4600,CMA,118.625,12.5,116.875,0,99.25,-56.0,F,Scotland,HE Qualification,60-70%,35-55,0.0,120.0,N,Distinction,269.0,finished,didn't withdraw,36822.77777777778,-1.75,11.320954106280192,0.932672449401074,0.0,-1.8045454545454547,0.0,174.625,460284.72222222225,3623.0,388.0561726274188,2.4305555555555554,17.746478873239436,9.0,-0.014084507042253521,Collaborative
31014,BBB,2013J,forumng,2655,880,TMA,62.4,8.6,59.8,0,90.0,-43.0,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0.0,120.0,N,Withdrawn,268.0,unfinished,late withdrawal,5075.875,-2.6,24.57017543859649,0.2476679104477612,0.0,-2.142857142857143,0.0,105.4,43652.525,1855.6,113.46629173007443,0.95,8.76923076923077,8.0,-0.46153846153846156,Informational
31107,GGG,2014B,forumng,34857,8181,CMA,186.22222222222223,0.0,135.88888888888889,0,89.22222222222223,-47.0,M,South West Region,Lower Than A Level,40-50%,35-55,0.0,30.0,N,Pass,241.0,finished,didn't withdraw,172337.2857142857,-50.333333333333336,89.22222222222223,2.2957913455838765,0.0,-1.939613526570048,0.0,233.22222222222223,0.0,2876.4444444444443,678.3882090749967,1.4444444444444444,31.677419354838708,7.0,-0.4032258064516129,Collaborative
31161,CCC,2014J,forumng,23456,6072,CMA,118.625,12.5,112.125,0,96.5,-43.0,M,South Region,Post Graduate Qualification,90-100%,55<=,0.0,105.0,N,Distinction,269.0,finished,didn't withdraw,51781.444444444445,-6.5,10.780132850241547,1.211069805865345,0.0,-2.2976190476190474,0.0,161.625,647268.0555555555,3521.0,405.8673280148598,2.1527777777777777,16.6056338028169,9.0,0.09859154929577464,Collaborative
31173,DDD,2013J,externalquiz,6006,1974,TMA,131.71428571428572,28.571428571428573,128.71428571428572,0,50.142857142857146,-44.0,M,North Western Region,A Level or Equivalent,40-50%,35-55,1.0,60.0,N,Fail,261.0,finished,didn't withdraw,4419.333333333333,-3.0,3.067706991327925,0.3652618135376756,1.0,-1.1661129568106312,0.0,175.71428571428572,126266.66666666667,1635.142857142857,84.38487098771262,3.4761904761904763,3.6451612903225805,9.0,-1.0483870967741935,Collaborative
31205,GGG,2014J,forumng,1524,540,CMA,160.75,0.0,101.0,0,90.5,-31.0,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0.0,30.0,Y,Fail,269.0,finished,didn't withdraw,1611.142857142857,-59.75,90.5,0.20233669676048857,0.0,-3.0166666666666666,0.0,191.75,0.0,1321.5,47.60596645724191,0.4642857142857143,4.629629629629629,7.0,-0.6666666666666666,Offline Content
31269,DDD,2014B,forumng,1118,448,TMA,39.0,11.25,39.0,0,56.0,-90.0,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1.0,120.0,N,Withdrawn,241.0,unfinished,late withdrawal,2771.125,0.0,4.526936026936027,0.28993775933609955,1.0,-0.6292134831460674,0.0,129.0,31175.15625,470.5,53.62446580930511,1.75,9.733333333333333,8.0,1.4666666666666666,Offline Content
31296,FFF,2014J,forumng,15360,2856,CMA,182.66666666666666,8.333333333333334,184.91666666666666,0,66.08333333333333,-20.0,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1.0,60.0,N,Fail,269.0,finished,didn't withdraw,7629.75,2.25,44.959164292497626,0.5947955390334573,1.0,-3.4780701754385963,0.0,202.66666666666666,63581.25,3242.0,195.18541791952865,-0.4479166666666667,5.810526315789474,8.0,-0.12631578947368421,Collaborative
31600,AAA,2014J,forumng,2145,630,TMA,114.2,20.0,116.6,0,54.8,-52.0,F,South West Region,A Level or Equivalent,40-50%,0-35,0.0,60.0,N,Pass,269.0,finished,didn't withdraw,3123.3333333333335,2.4,2.8505515989386954,0.26579925650557623,0.0,-1.0745098039215686,0.0,166.2,62466.666666666664,844.2,79.27418591019486,6.333333333333333,7.724137931034483,6.0,0.2413793103448276,Informational
31604,AAA,2013J,dataplus,10790,3315,TMA,114.2,20.0,112.2,0,76.0,-52.0,F,South East Region,A Level or Equivalent,50-60%,35-55,0.0,60.0,N,Pass,268.0,finished,didn't withdraw,44727.25,-2.0,4.012009495880464,1.0065298507462686,0.0,-1.4901960784313726,0.0,166.2,894545.0,1553.4,306.87788851844385,4.9,21.41025641025641,8.0,0.07692307692307693,Informational
31663,BBB,2013B,forumng,64966,16940,TMA,112.54545454545455,9.090909090909092,114.54545454545455,0,79.27272727272727,-60.0,M,North Region,A Level or Equivalent,30-40%,35-55,0.0,60.0,N,Pass,240.0,finished,didn't withdraw,469603.44444444444,2.0,24.606060606060606,2.734259259259259,0.0,-1.3436055469953774,0.0,172.54545454545453,4269122.222222222,4018.0,1241.321765548153,1.2828282828282829,40.40816326530612,9.0,-0.30612244897959184,Collaborative
31849,BBB,2013J,forumng,12969,4015,TMA,120.18181818181819,9.090909090909092,122.18181818181819,0,78.0,-128.0,F,South West Region,Lower Than A Level,60-70%,35-55,0.0,120.0,N,Pass,268.0,finished,didn't withdraw,22515.14285714286,2.0,22.839712918660286,0.6284648187633263,0.0,-0.6141732283464567,0.0,248.1818181818182,204683.1168831169,3072.181818181818,224.3903101254497,2.103896103896104,8.407894736842104,7.0,-0.3026315789473684,Collaborative
